ID,開始時刻,完了時刻,メール,名前,行列やその演算（行列積や逆行列など）についてどのくらい知っていますか？,行列の固有値やスペクトル分解についてどのくらい知っていますか？,回帰（regression）についてどのくらい知っていますか？,正則化（regularization）についてどのくらい知っていますか？,確率的勾配降下法（SGD: Stochastic Gradient Descent）についてどのくらい知っていますか？,分類（classification）についてどのくらい知っていますか,ニューラルネットワークについてどのくらい知っていますか？,サポートベクトルマシン（SVM）についてどのくらい知っていますか,クラスタリングについてどのくらい知っていますか？,主成分分析についてどのくらい知っていますか？,強化学習についてどのくらい知っていますか？,プログラミング言語Pythonについてどのくらい知っていますか？,Kaggleなどのデータ解析コンペに参加したことがありますか？,ご所属を教えて下さい（「その他」には学院名ではなく系の名前を入れてください）。,使ったことがあるサービス・ライブラリにチェックを付けてください,,最終変更時刻
1,2012/5/23 14:23,2012/5/23 14:25,anonymous,,自分で計算できる程度に理解している,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,ある程度コードが書ける,参加したことは無い,情報工学系（情報工学科も含む）,Slack;Github;NumPy;Matplotlib;scikit-learn;Jupyter Notebook（上記のサービスを除く）;,,
2,2012/5/23 14:24,2012/5/23 14:25,anonymous,,講義で聞いたことはある,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,ある程度コードが書ける,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Slack;Github;NumPy;Matplotlib;scikit-learn;,,
3,2012/5/23 15:02,2012/5/23 15:05,anonymous,,自分で計算できる程度に理解している,自分で計算できる程度に理解している,講義で聞いたことがある,よく知っている（独学で勉強した、自分で使ったことがある）,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,ある程度コードが書ける,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Jupyter Notebook（上記のサービスを除く）;Slack;Github;NumPy;Matplotlib;scikit-learn;PyTorch;,,
4,2012/5/23 15:18,2012/5/23 15:19,anonymous,,自分で計算できる程度に理解している,講義で聞いたことはある,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で勉強したことがある,参加したことは無い,情報工学系（情報工学科も含む）,Slack;Github;,,
5,2012/5/23 15:33,2012/5/23 15:34,anonymous,,自分で計算できる程度に理解している,自分で計算できる程度に理解している,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,講義で聞いたことがある,ある程度コードが書ける,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Slack;Github;NumPy;,,
6,2012/5/23 15:33,2012/5/23 15:36,anonymous,,講義で聞いたことはある,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,参加したことは無い,情報工学系（情報工学科も含む）,Slack;Github;,,
7,2012/5/23 15:36,2012/5/23 15:37,anonymous,,講義で聞いたことはある,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,あまり知らない,ある程度コードが書ける,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Slack;Github;,,
8,2012/5/23 15:04,2012/5/23 15:38,anonymous,,自分で計算できる程度に理解している,自分で計算できる程度に理解している,講義で聞いたことがある,あまり知らない,講義で聞いたことがある,あまり知らない,講義で聞いたことがある,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,講義で勉強したことがある,参加したことは無い,情報工学系（情報工学科も含む）,Slack;Github;,,
9,2012/5/23 15:37,2012/5/23 15:38,anonymous,,講義で聞いたことはある,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,講義で聞いたことがある,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で勉強したことがある,参加したことは無い,情報工学系（情報工学科も含む）,Google Colaboratory;Slack;,,
10,2012/5/23 15:36,2012/5/23 15:38,anonymous,,自分で計算できる程度に理解している,講義で聞いたことはある,講義で聞いたことがある,講義で聞いたことがある,あまり知らない,あまり知らない,よく知っている（独学で勉強した、自分で使ったことがある）,あまり知らない,あまり知らない,あまり知らない,あまり知らない,講義で勉強したことがある,参加したことは無い,情報工学系（情報工学科も含む）,Slack;Github;,,
